transaction_id,timestamp,sender_account,receiver_account,amount,transaction_type,merchant_category,location,device_used,is_fraud,fraud_type,time_since_last_transaction,spending_deviation_score,velocity_score,geo_anomaly_score,payment_channel,ip_address,device_hash
T2072510,2023-01-06T15:00:45.451769,ACC400994,ACC397412,28.59,payment,online,Tokyo,mobile,FALSE,,-5951.466896,-0.59,11,0.73,card,45.161.168.222,D6951088
T2165585,2023-01-06T16:47:20.601353,ACC983371,ACC153373,7.62,transfer,online,London,atm,FALSE,,-2947.185851,-0.19,17,0.37,card,176.225.168.108,D3946727
T1276088,2023-01-06T22:38:37.698675,ACC745407,ACC578990,651.38,deposit,grocery,Dubai,web,FALSE,,-6895.322885,-0.11,9,0.41,ACH,171.221.134.202,D4371018
T276956,2023-01-07T01:43:53.042801,ACC201013,ACC993399,1178.76,deposit,utilities,Dubai,mobile,FALSE,,,1.47,15,0.77,ACH,16.102.38.91,D4979863
T2276052,2023-01-07T05:05:40.931665,ACC627043,ACC533158,572.63,withdrawal,entertainment,Berlin,mobile,FALSE,,-1659.889558,-0.2,10,0.44,wire_transfer,80.18.198.197,D4382221
T674086,2023-01-07T06:27:29.414076,ACC131035,ACC816256,840.37,deposit,retail,Sydney,atm,FALSE,,-7578.21048,-1.35,13,0.99,ACH,241.122.218.169,D8078939
T4889467,2023-01-07T09:40:32.584869,ACC901162,ACC957993,243.08,withdrawal,other,Singapore,pos,FALSE,,-552.6655424,1.25,12,0.42,card,195.172.197.249,D2582754
T4074086,2023-01-07T10:14:06.869385,ACC228658,ACC616479,670.47,deposit,online,Dubai,atm,FALSE,,-2731.184823,0.09,13,0.15,wire_transfer,154.66.255.245,D1525313
T3437962,2023-01-07T11:28:51.749860,ACC352896,ACC546471,70.47,payment,entertainment,Toronto,pos,FALSE,,,-1.19,4,0.1,wire_transfer,147.179.113.220,D4529907
T955315,2023-01-07T11:30:45.953554,ACC523628,ACC961106,13.6,transfer,grocery,London,web,FALSE,,,0.01,12,0.78,card,230.109.155.129,D3369940
T4965127,2023-01-07T11:34:40.369742,ACC165676,ACC165267,136.3,payment,retail,Berlin,pos,FALSE,,-7469.082624,1.07,20,0.41,card,8.85.37.224,D9139905
T3766375,2023-01-07T12:04:04.182079,ACC596610,ACC496340,1954.13,deposit,grocery,London,mobile,FALSE,,-8304.486714,-0.05,8,0.32,wire_transfer,74.54.122.20,D5574097
T3665018,2023-01-07T13:07:10.480501,ACC938614,ACC378461,513.38,withdrawal,online,Tokyo,web,FALSE,,-7139.63906,-0.14,19,0.45,wire_transfer,64.100.107.87,D9128896
T1067824,2023-01-07T13:53:15.000805,ACC190342,ACC288046,1082.61,deposit,retail,Toronto,mobile,FALSE,,-668.967875,2.46,7,0.48,ACH,139.19.44.67,D6546774
T2073581,2023-01-07T13:56:22.539102,ACC758029,ACC500029,353.92,deposit,restaurant,Sydney,mobile,FALSE,,-791.9494737,0.79,2,0.31,ACH,140.138.144.62,D5890318
T4759186,2023-01-07T14:28:51.634748,ACC777397,ACC820017,876.87,deposit,grocery,New York,pos,FALSE,,-4204.174431,0.1,18,0.24,UPI,83.16.76.115,D7305050
T4685257,2023-01-07T15:54:27.260832,ACC809767,ACC473697,1313.41,deposit,utilities,Sydney,pos,FALSE,,-1240.507841,1.05,4,0.89,UPI,53.80.139.40,D1279141
T325264,2023-01-07T23:57:39.782605,ACC421358,ACC611654,83.3,withdrawal,entertainment,Berlin,pos,FALSE,,,0.73,3,0.38,UPI,195.21.227.120,D8714506
T1779744,2023-01-08T05:24:20.870911,ACC376627,ACC150033,13.3,payment,restaurant,Berlin,pos,FALSE,,-676.972602,1.33,4,0.35,UPI,29.175.228.249,D5922797
T3919919,2023-01-08T05:44:43.268321,ACC554473,ACC855158,296.05,withdrawal,entertainment,Berlin,mobile,FALSE,,-623.1562007,0.9,11,0.97,UPI,94.117.91.214,D2191593
T3463565,2023-01-08T06:08:59.786741,ACC789670,ACC415819,1664.24,deposit,utilities,Dubai,pos,FALSE,,-8265.540092,0.96,13,0.46,card,25.167.78.84,D7981616
T3897588,2023-01-08T06:53:52.660165,ACC469991,ACC627344,5.48,payment,travel,Tokyo,mobile,FALSE,,-1515.166628,0.26,2,0.5,ACH,152.9.111.120,D2018881
T4452759,2023-01-08T07:22:27.855511,ACC376049,ACC369099,2.68,payment,travel,London,mobile,FALSE,,-2607.876504,0.93,11,0.31,card,140.117.227.47,D9527675
T2214177,2023-01-08T09:44:46.254793,ACC546747,ACC744815,169.3,withdrawal,entertainment,New York,atm,FALSE,,-5467.920789,1.67,20,0.89,wire_transfer,25.251.11.192,D6411550
T2363254,2023-01-08T10:08:01.035709,ACC845152,ACC364563,22.7,transfer,entertainment,London,pos,FALSE,,-3173.611326,1.26,11,0.14,card,240.213.107.27,D1829866
T1866825,2023-01-08T11:01:55.807895,ACC883124,ACC379340,11.11,transfer,online,New York,mobile,FALSE,,-7284.782689,-0.52,9,0.27,wire_transfer,18.56.161.144,D8404617
T1237105,2023-01-08T12:18:38.580085,ACC969823,ACC451752,142.4,payment,retail,Toronto,atm,FALSE,,-5706.091886,-1.16,19,1,UPI,2.130.26.252,D1882372
T2200299,2023-01-08T12:37:53.917888,ACC465615,ACC251412,62.18,payment,grocery,Berlin,atm,FALSE,,-1110.870601,0.06,14,0.92,ACH,126.108.120.95,D1579978
T3176709,2023-01-08T12:57:08.125316,ACC461846,ACC677084,0.01,deposit,other,Berlin,mobile,FALSE,,-2313.053316,-0.09,10,0.4,UPI,37.131.45.5,D1226266
T2506306,2023-01-08T13:44:58.271796,ACC816554,ACC155680,1297.58,deposit,retail,Tokyo,pos,FALSE,,-7226.440404,0.68,9,0.16,wire_transfer,63.120.180.142,D4613568
T4305205,2023-01-08T14:28:54.789218,ACC413405,ACC322501,95.96,payment,entertainment,London,web,FALSE,,-7302.17464,-0.41,10,0.39,wire_transfer,37.131.45.5,D6456647
T2936972,2023-01-08T14:58:18.512097,ACC810821,ACC922850,141.15,payment,online,New York,mobile,FALSE,,-1005.746533,-0.39,16,0.25,UPI,9.79.189.220,D4781281
T2196646,2023-01-08T20:21:19.365244,ACC964466,ACC869882,253.36,payment,retail,Toronto,atm,TRUE,card_not_present,-3324.766691,-0.02,13,0.06,wire_transfer,37.131.45.5,D9882204
T3899874,2023-01-08T22:18:49.832718,ACC707068,ACC655621,1349.9,deposit,grocery,New York,web,FALSE,,-7406.542827,0.43,2,0.33,wire_transfer,100.149.159.85,D5564926
T4984615,2023-01-08T22:56:31.014069,ACC227232,ACC569079,70.28,transfer,travel,New York,pos,FALSE,,-2163.216035,0.36,17,0.67,ACH,69.105.8.243,D3486460
T1427470,2023-01-08T23:55:14.234804,ACC439241,ACC950338,1866.94,deposit,entertainment,New York,web,FALSE,,,0.42,20,0.71,ACH,73.28.186.0,D3296755
T1681635,2023-01-09T01:10:50.425989,ACC868785,ACC996167,467.03,withdrawal,utilities,Toronto,atm,FALSE,,-298.8480266,-1.47,1,0.76,ACH,231.172.59.63,D5876130
T3934633,2023-01-09T04:39:22.865093,ACC159395,ACC985960,12.64,withdrawal,restaurant,London,atm,FALSE,,-3608.076942,-1.08,2,0.66,ACH,57.157.175.78,D6077693
T202205,2023-01-09T04:39:52.279644,ACC845255,ACC715710,60.87,payment,entertainment,Berlin,web,FALSE,,,0.7,14,0.04,wire_transfer,98.90.180.25,D1122700
T4111750,2023-01-09T06:29:05.326421,ACC207158,ACC227583,23.18,withdrawal,utilities,Tokyo,mobile,FALSE,,-8103.593371,-0.28,5,0.54,wire_transfer,159.101.20.175,D3220527
T3455343,2023-01-09T08:19:16.114217,ACC852239,ACC114125,1058.67,deposit,restaurant,Dubai,pos,FALSE,,-2392.603796,-0.4,20,0.09,ACH,152.146.249.214,D3791226
T2039638,2023-01-09T08:49:26.023305,ACC895024,ACC397020,13.17,transfer,online,New York,mobile,FALSE,,-6276.679645,-0.17,6,0.96,UPI,167.218.189.131,D2527729
T5068907,2023-01-09T09:53:31.301460,ACC311944,ACC942585,170,withdrawal,grocery,Toronto,mobile,FALSE,,-838.1486019,-0.54,7,0.77,wire_transfer,21.87.23.254,D6717394
T3375559,2023-01-09T09:55:33.391259,ACC108176,ACC323466,1251.63,deposit,grocery,Sydney,mobile,FALSE,,-7889.525301,0.1,19,0.82,ACH,180.225.111.110,D2662159
T574676,2023-01-09T12:03:50.997112,ACC122272,ACC729390,75.73,payment,other,New York,atm,FALSE,,,0.25,12,0.24,ACH,61.165.242.6,D9700385
T2196426,2023-01-09T17:28:28.044844,ACC386330,ACC848877,451.68,deposit,other,Sydney,atm,FALSE,,-5125.410838,0.51,15,0.8,UPI,236.81.56.84,D8292196
T3185286,2023-01-09T20:10:00.292718,ACC384397,ACC585564,1220.58,deposit,restaurant,Dubai,mobile,FALSE,,-1734.239109,-1.21,1,0.03,ACH,84.28.187.253,D2713209
T3091803,2023-01-09T20:11:13.281142,ACC938237,ACC824393,1006.57,deposit,retail,Tokyo,atm,FALSE,,-5156.904456,1.27,6,0.83,UPI,67.89.154.234,D3083592
T2827682,2023-01-09T22:41:56.435087,ACC498157,ACC470132,5.58,transfer,restaurant,Berlin,atm,FALSE,,-1033.680813,0.9,19,0.07,wire_transfer,50.65.65.254,D2760597
T4665047,2023-01-09T23:34:18.547238,ACC789350,ACC243381,49.01,payment,online,Toronto,web,FALSE,,-4360.899166,-0.11,14,0.15,UPI,209.81.215.106,D6576011
T5091455,2023-01-10T00:28:54.769674,ACC265205,ACC597265,8.16,transfer,restaurant,Singapore,mobile,FALSE,,-2164.107218,0.99,11,0.34,card,3.38.52.146,D5065538
T2519203,2023-01-10T02:05:42.653633,ACC371416,ACC498734,479.09,withdrawal,restaurant,Dubai,mobile,FALSE,,-593.8166499,1.48,7,0.04,ACH,183.85.167.177,D4708947
T3440238,2023-01-10T03:31:48.746615,ACC619429,ACC239270,310.08,withdrawal,restaurant,Toronto,pos,FALSE,,-460.223458,0.52,18,0.02,wire_transfer,177.197.146.39,D4555376
T4050455,2023-01-10T07:13:04.474403,ACC603589,ACC361835,971.04,deposit,travel,Tokyo,atm,FALSE,,-5527.950882,-0.5,17,0.7,UPI,138.59.22.173,D4569161
T2604898,2023-01-10T10:18:54.709695,ACC108315,ACC528571,99.54,payment,other,Tokyo,web,FALSE,,-469.8580967,-1.04,12,0.52,UPI,120.141.232.85,D7486247
T2850482,2023-01-10T10:22:43.372328,ACC459962,ACC230580,43.99,transfer,online,Toronto,atm,FALSE,,-1798.126804,0.88,17,0.81,UPI,225.123.206.67,D6367526
T2946876,2023-01-10T11:28:47.647685,ACC976622,ACC265260,255.76,payment,retail,Toronto,atm,FALSE,,-2457.383132,1.65,11,0.11,wire_transfer,107.143.7.41,D9497664
T3105943,2023-01-10T13:55:50.327622,ACC735149,ACC477798,272.66,payment,online,London,web,FALSE,,-2872.968266,-0.19,8,0.72,ACH,82.106.202.234,D2446973
T2344024,2023-01-10T17:03:31.537539,ACC925170,ACC716917,15.19,transfer,restaurant,Sydney,atm,FALSE,,,0.38,4,0.63,wire_transfer,249.65.25.64,D8247433
T4174505,2023-01-10T17:35:52.697973,ACC128048,ACC237116,0.01,deposit,restaurant,Singapore,mobile,FALSE,,-5728.044712,0.04,18,0.83,card,87.194.114.201,D7366968
T2793890,2023-01-10T23:52:57.423355,ACC757039,ACC207924,312.11,payment,online,New York,web,FALSE,,-1625.681476,0.35,12,0.2,ACH,253.21.19.213,D8006291
T2522635,2023-01-11T00:29:43.588605,ACC624734,ACC920027,393.63,deposit,utilities,Toronto,mobile,FALSE,,-1488.636175,-2.25,11,0.58,ACH,228.203.67.85,D3334350
T1031721,2023-01-11T03:30:11.932957,ACC347611,ACC107296,116.2,withdrawal,online,Berlin,mobile,FALSE,,,-1.58,4,0.45,UPI,87.168.109.119,D4936583
T1400345,2023-01-11T03:43:36.594050,ACC192520,ACC207294,19.67,transfer,entertainment,Berlin,mobile,FALSE,,-6446.658056,1.35,8,0.35,wire_transfer,175.89.131.37,D6642383
T1768803,2023-01-11T06:29:36.792031,ACC609870,ACC293333,92.14,payment,grocery,Toronto,atm,FALSE,,-4397.629789,-0.68,19,0.84,ACH,11.188.229.138,D4653618
T2829343,2023-01-11T06:39:10.766974,ACC364163,ACC420796,339.65,withdrawal,retail,Singapore,mobile,FALSE,,-7742.56482,0.74,3,0.2,ACH,121.153.44.82,D1410947
T3585367,2023-01-11T06:40:11.972059,ACC983682,ACC812272,30.61,transfer,retail,New York,atm,FALSE,,-987.1724632,0.06,3,0.7,UPI,185.163.90.179,D6411287
T852591,2023-01-11T09:58:18.240079,ACC315877,ACC720071,18.51,transfer,grocery,Tokyo,mobile,FALSE,,-5575.032935,0.77,14,0.37,ACH,37.9.200.131,D3306113
T4019373,2023-01-11T10:14:56.508530,ACC940913,ACC722162,1461.68,deposit,online,New York,web,FALSE,,-4687.424434,0.31,4,0.38,UPI,75.137.136.134,D9448877
T972461,2023-01-11T10:38:36.625617,ACC100404,ACC139919,313.47,withdrawal,online,Toronto,mobile,FALSE,,-995.1881074,2.43,4,0.94,card,64.38.71.67,D9883631
T1563563,2023-01-11T12:15:19.096980,ACC551331,ACC871621,531.08,withdrawal,restaurant,Singapore,mobile,FALSE,,-6964.803368,2.34,4,0.36,wire_transfer,116.176.165.7,D9794222
T2145030,2023-01-11T13:26:32.102012,ACC111519,ACC802554,199.26,withdrawal,online,London,pos,FALSE,,-204.3421921,0.83,2,0.6,card,73.106.248.95,D7992686
T1944912,2023-01-11T19:03:16.704065,ACC888291,ACC155434,349.37,withdrawal,other,Toronto,atm,FALSE,,-6837.69777,2.54,13,0.24,ACH,128.131.161.182,D7577538
T4336781,2023-01-11T19:22:55.559151,ACC380286,ACC195987,920.07,withdrawal,utilities,Sydney,mobile,FALSE,,-1224.192492,1,13,0.1,ACH,18.225.107.5,D7879155
T4222586,2023-01-11T23:22:39.584087,ACC103185,ACC190488,117.28,withdrawal,travel,Berlin,pos,FALSE,,-4619.915862,-0.6,12,0.99,card,41.66.204.224,D5961565
T998974,2023-01-11T23:26:25.853437,ACC693773,ACC298967,37.68,transfer,travel,Toronto,web,FALSE,,-8056.005484,0.68,2,0.63,card,176.29.155.133,D8861541
T1254195,2023-01-12T01:42:35.261290,ACC495787,ACC324647,769.14,deposit,utilities,Berlin,atm,FALSE,,,-0.19,10,0.93,UPI,220.87.74.164,D8287341
T2826545,2023-01-12T02:01:30.973139,ACC969342,ACC256885,304.81,payment,other,Singapore,mobile,FALSE,,-3002.635653,-0.34,9,0.85,card,246.145.174.76,D9559786
T3588440,2023-01-12T03:32:58.599702,ACC950347,ACC632590,772.61,deposit,online,Sydney,web,FALSE,,-3802.675619,0.09,18,0.5,ACH,173.151.99.110,D6132431
T2256893,2023-01-12T04:34:00.907844,ACC667661,ACC192835,69.03,payment,online,Sydney,mobile,FALSE,,-5544.009623,-1.21,5,0.47,UPI,163.124.169.46,D4664615
